doc_content,doc_title,doc_section,doc_chapter,content_root1,content_root2,content_root3,content_root4,content_root5,content_root6,doc_index,doc_order
,ACI_349_97 ,PART 1 -GENERAL,,,,,,,,,1
,ACI_349_97 ,PART 1 -GENERAL,Chapter 1 -General Requirements,,,,,,,,2
"-Scope This Code provides the minimumrequirements for the design and construction of nuclear safety related concrete structuresand structuralelementsfornuclear powergenerating stations. Safety related structures and structural elements subject to this standard are those concrete structures which support, house, or protect nuclear safety class systems or component parts ofnuclear safety class systems. Specifically excluded from this Code are those structures covered by ""Code for Concrete Reactor Vessels and Containments, "" ASME Boiler and Pressure Vessel Code Section III, Division2, and pertinent General Requirements (ACI Standard359). ",ACI_349_97 ,PART 1 -GENERAL,Chapter 1 -General Requirements,1.1,,,,,,,3
,ACI_349_97 ,PART 1 -GENERAL,Chapter 1 -General Requirements,"1.2 -Drawings, specifications,andcalculations",,,,,,,4
" Copies of structural drawings, typical details, and specifications for all reinforced concrete construction shall besigned bya licensed engineer. These drawings(including supplementary drawings to generate the as-built condition), typical details, and specifications shall be retained by the Owner, or his designee, asa permanent record for the lifeof the structure. As a minimum, these drawings, details, and specifications together shall show: a) Name and date ofissue ofcode and supplementto which the design conforms b) Live load and other loads used in the design c) Specified compressive strength of concrete at stated ages orstages ofconstruction for which each part of structure is designed d) Specified strength or gradeofreinforcement e) Size and location of all structural elements and reinforcement f) Provision fordimensional changesresultingfromcreep, shrinkage, and temperature g) Magnitude and location of prestressing forces h) Anchorage length ofreinforcement and location and length oflap splices i) Type and location of welded splices and mechanical connections of reinforcement. ",ACI_349_97 ,PART 1 -GENERAL,Chapter 1 -General Requirements,"1.2 -Drawings, specifications,andcalculations",1.2.1,,,,,,5
" Calculationspertinentto thedesign (including the results of model analysis,ifany) shall be retained by Ownerorhis designee, asa permanent record forthe life of the structure. Accompanying these calculations shall be a statement of the applicable design methods. When computer programs are used, design assumptions and identified input and output data may be retained in lieu of calculations. Model analysis shall be permitted to supplement calculations. ",ACI_349_97 ,PART 1 -GENERAL,Chapter 1 -General Requirements,"1.2 -Drawings, specifications,andcalculations",1.2.2,,,,,,6
,ACI_349_97 ,PART 1 -GENERAL,Chapter 1 -General Requirements,1.3  Inspection and record keeping,,,,,,,7
" The Owner is responsible for the inspection ofconcrete construction throughout all work stages. The Owner shall require compliance with design drawings and specifications and keep records required for quality assurance of construction, fabrication, manufacture or installation, and for traceability. ",ACI_349_97 ,PART 1 -GENERAL,Chapter 1 -General Requirements,1.3  Inspection and record keeping,1.3.1,,,,,,8
" The Owner shall be responsible for designating the records to be maintained and the duration of retention. Recordspertinentto plant modifications orrevisions,in-service inspections, and durability and performance of structures shall bemaintained forthe lifeofthe plant. The Owner shall be responsible for continued maintenance of the records.Therecords shall be maintained at the power plant site, orat other locations as determined by the Owner. Asa minimum, the following installation/construction records shall beconsidered for lifetime retention: a) Check-off sheets for tendon and reinforcing steel installation b) Concretecylinder test reports and charts c) Concretedesign mix reports d) Concrete placementrecords e) Material property reports on reinforcing steel f) Material property reportson reinforcing steel mechanical connection material g) Material properry reports on steel embedments in concrete h) Material property reports ontendon andanchorage fabrication material and corrosion inhibitors i) Reports for periodic tendon inspection ",ACI_349_97 ,PART 1 -GENERAL,Chapter 1 -General Requirements,1.3  Inspection and record keeping,1.3.2,,,,,,9
"-Approval of special systems ofdesign or construction Sponsors of any system of design or construction within the scope of this Code, the adequacy of which has been shown by successful use or by analysis or test, but which does not conform to or is not covered by this Code, shall have the right to present the data on which their design is based to the Regulatory Authority for review and approval. The Regulatory Authority may investigate the data SO submitted, and may require tests and formulate rules governing the design and construction of such systems to meet the 10tent of this Code. ",ACI_349_97 ,PART 1 -GENERAL,Chapter 1 -General Requirements,1.4,,,,,,,10
" Quality assurance program A quality assurance program covering nuclear safety related structures shall bedeveloped priorto starting any work. The generalrequirementsandguidelines for establishingand executing the quality assurance program during the design and construction phases ofnuclear power generatingstations are established by Title 10 of the Code of Federal Regulations, Part50(10CFR50), AppendixB. ",ACI_349_97 ,PART 1 -GENERAL,Chapter 1 -General Requirements,1.5,,,,,,,11
,ACI_349_97 ,PART 1 -GENERAL,Chapter 2 - Definitions,,,,,,,,12
