doc_content,doc_section,content_root1,content_root2,content_root3,content_root4,content_chapter,doc_title,doc_index,doc_order
,PART 1 -GENERAL,,,,,,,,1
,CHAPTER 1 -GENERAL REQUIREMENTS,,,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,2
"This Code provides the minimum requirements for the design and construction ofnuclear safety related concrete structuresandstructural elements for nuclear power generatingstations. Safety related structures and structural elements subject to this standard are those concrete structures which support, house, or protect nuclear safety class systems or component parts ofnuclear safety class systems. Specifically excluded from this Code are those structures covered by ""CCdee for Concrete Reactor Vessels and Containments, ASME Boiler and Pressure Vessel Code Section III, Division2, and pertinent General Requirements (ACI Standard 359). ",1.1 -Scope ,1.1 -Scope ,,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,3
" This Code includes design and loading conditions that are unique to nuclear facilities including shear design under biaxial tension conditions, consideration ofthermal and seismic effects, and impact and impulsive loads. ",1.1.1,1.1 -Scope ,1.1.1,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,4
" This Code shall govern in all matters pertaining to design and construction of reinforced-concrete structures, as definedin 1.1.1, except where the Code is in conflict with the specific provisions ofthe regulatory orjurisdictional authorities. ",1.1.2,1.1 -Scope ,1.1.2,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,5
" This Code shall govern in all matters pertaining to design, construction, and material properties wherever this Code is in conflict with requirements contained in other standards referenced in this Code. ",1.1.3,1.1 -Scope ,1.1.3,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,6
" For special structures, such as arches, tanks, reservoirs, bins and silos, blast-resistantstructures, and chimneys, provisions ofthis Code shall govern where applicable. ",1.1.4,1.1 -Scope ,1.1.4,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,7
 This Code does not govern design and installation of portions ofconcrete piles and drilled piers embedded in ground. ,1.1.5,1.1 -Scope ,1.1.5,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,8
" This Code does not govern design and construction of soil-supported slabs, unless the slab transmits vertical loads from otherportions ofthe structure tothe soil.  ",1.1.6,1.1 -Scope ,1.1.6,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,9
,1.1.7  Concrete on steel form deck,1.1 -Scope ,1.1.7  Concrete on steel form deck,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,10
" Design and construction of structural concrete slabs cast on stay-in-place, noncomposite steel form deck are governed by this Code. ",1.1.7.1,1.1 -Scope ,1.1.7  Concrete on steel form deck,1.1.7.1,,CHAPTER 1 -GENERAL REQUIREMENTS,,,11
" This Code does not govern the design of structural concrete slabs cast on stay-in-place, composite steel form deck. Concrete used the construction ofsuch slabs shall be governed by Parts 1, 2, and 3 ofthis Code, where applicable. ",1.1.7.2,1.1 -Scope ,1.1.7  Concrete on steel form deck,1.1.7.2,,CHAPTER 1 -GENERAL REQUIREMENTS,,,12
 Special provisions for earthquake resistance Provisions of Chapter21 shall besatisfied. See21.2.1. ,1.1.8,1.1 -Scope ,1.1.8,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,13
,"1.2 -Drawings, specifications, and calculations","1.2 -Drawings, specifications, and calculations",,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,14
"Copies of structural drawings, typical details, and specifications for all reinforced concrete construction shall be signed by a licensed engineer. These drawings (including typical details, and specificationsshall be retained by the Owner, or his designee, as a permanent record for thelife of the structure. Asa minimum, these drawings, details, and specifications together shall show:",1.2.1 ,"1.2 -Drawings, specifications, and calculations",1.2.1 ,,,CHAPTER 1 -GENERAL REQUIREMENTS,,,15
 Name and date of issue ofcode and supplement to which the design conforms; ,(a),"1.2 -Drawings, specifications, and calculations",1.2.1 ,(a),,CHAPTER 1 -GENERAL REQUIREMENTS,,,16
 Live load and other loads used in the design; ,(b),"1.2 -Drawings, specifications, and calculations",1.2.1,(b),,CHAPTER 1 -GENERAL REQUIREMENTS,,,17
 Specified compressive strength ofconcrete at stated ages or stages ofconstruction for which each part of structure 1S designed; ,(c),"1.2 -Drawings, specifications, and calculations",1.2.1,(c),,CHAPTER 1 -GENERAL REQUIREMENTS,,,18
 Specified strength orgrade ofreinforcement; ,(d),"1.2 -Drawings, specifications, and calculations",1.2.1,(d),,CHAPTER 1 -GENERAL REQUIREMENTS,,,19
